Order_ID,Order_Date,Customer_ID,Customer_Name,Product_ID,Product_Name,Category,Subcategory,Brand,Price,Quantity,Discount,Sales,Profit,State,City,Pin_Code,Payment_Type,Delivery_Status
10000,2025-03-28,C60494,Steve Williams,P6866,Nike Sneakers,Fashion,Footwear,Nike,68013,2,15,115622,32796,Rajasthan,Jaipur,67514,COD,Shipped
10001,2025-01-18,C86465,Richard Turner,P2618,Noise Smartwatch,Electronics,Wearables,Noise,37941,1,0,37941,8486,Karnataka,Bengaluru,62969,Prepaid,Shipped
10002,2024-12-24,C19665,Susan Wagner,P8815,Urban Ladder Chair,Home,Furniture,Urban Ladder,14199,2,15,24138,3940,Gujarat,Ahmedabad,37442,Prepaid,Cancelled
10003,2024-11-12,C68024,Lisa King,P9086,IKEA Table,Home,Furniture,IKEA,2840,1,15,2414,584,Rajasthan,Jaipur,70305,Prepaid,Cancelled
10004,2025-03-01,C53664,Stephanie Collins,P8339,boAt Smart Band,Electronics,Wearables,boAt,9255,1,20,7404,1069,Rajasthan,Jaipur,96161,Prepaid,Cancelled
10005,2024-10-30,C21955,Melinda Kennedy,P6451,Lenovo IdeaPad,Electronics,Laptops,Lenovo,65131,1,10,58618,12325,Gujarat,Ahmedabad,13700,Prepaid,Cancelled
10006,2024-12-23,C80816,Levi Durham,P4966,Mi Band 6,Electronics,Wearables,Mi,38703,2,0,77406,16972,West Bengal,Kolkata,72921,COD,Cancelled
10007,2025-01-16,C48054,Joseph Brown,P1633,Samsung Galaxy A32,Electronics,Mobile Phones,Samsung,5321,3,10,14367,2806,Maharashtra,Mumbai,72420,Prepaid,Delivered
10008,2025-04-11,C20518,Nathan Ross,P7871,Nilkamal Cabinet,Home,Furniture,Nilkamal,69756,2,20,111610,29278,Rajasthan,Jaipur,88077,Prepaid,Cancelled
10009,2025-02-14,C85981,Johnny Dillon,P4981,Allen Solly Shirt,Fashion,Clothing,Allen Solly,47840,1,10,43056,9582,West Bengal,Kolkata,32470,COD,Delivered
10010,2025-03-06,C12124,Seth Lee,P3397,IKEA Table,Home,Furniture,IKEA,29896,2,5,56802,9458,Rajasthan,Jaipur,74885,Prepaid,Delivered
10011,2024-11-28,C38675,Walter Pratt,P2499,Mi Band 6,Electronics,Wearables,Mi,10698,1,0,10698,2428,Tamil Nadu,Chennai,59217,Prepaid,Shipped
10012,2024-11-02,C58514,Francisco Romero,P2000,iPhone 13,Electronics,Mobile Phones,Apple,3835,1,5,3643,888,West Bengal,Kolkata,64632,Prepaid,Cancelled
10013,2024-11-06,C99043,Eddie Martinez,P8144,boAt Smart Band,Electronics,Wearables,boAt,14303,2,0,28606,4124,Gujarat,Ahmedabad,44115,COD,Shipped
10014,2025-03-23,C33634,Christina Lloyd,P6874,boAt Smart Band,Electronics,Wearables,boAt,6161,3,0,18483,4433,West Bengal,Kolkata,72227,Prepaid,Shipped
10015,2025-02-07,C71632,Brandon Yates,P8246,Milton Water Bottle,Home,Kitchen,Milton,27661,1,5,26278,7071,Karnataka,Bengaluru,42056,COD,Delivered
10016,2025-02-04,C97242,Clinton Underwood,P5111,Redmi Note 11,Electronics,Mobile Phones,Redmi,54727,3,20,131345,37237,Gujarat,Ahmedabad,04822,COD,Shipped
10017,2025-02-11,C30108,Mrs. Andrea Shelton,P6770,Pigeon Gas Stove,Home,Kitchen,Pigeon,11364,2,0,22728,4747,Delhi,New Delhi,17569,Prepaid,Shipped
10018,2025-04-04,C89971,Andrew Miller,P4150,Zara Dress,Fashion,Clothing,Zara,18346,3,10,49534,8797,West Bengal,Kolkata,92162,Prepaid,Delivered
10019,2025-04-13,C53830,Melinda Massey,P7852,Samsung Galaxy A32,Electronics,Mobile Phones,Samsung,59737,2,20,95579,26275,Maharashtra,Mumbai,69257,COD,Cancelled
10020,2024-12-08,C96795,Cynthia Lewis,P1001,Prestige Cooker,Home,Kitchen,Prestige,59373,1,10,53436,12841,West Bengal,Kolkata,89561,COD,Cancelled
10021,2025-02-07,C15100,Jennifer Hill,P3138,Allen Solly Shirt,Fashion,Clothing,Allen Solly,62196,1,15,52867,7275,Gujarat,Ahmedabad,65074,Prepaid,Cancelled
10022,2025-02-21,C11930,Melody Haas,P2948,Allen Solly Shirt,Fashion,Clothing,Allen Solly,1444,1,0,1444,352,Maharashtra,Mumbai,47341,Prepaid,Delivered
10023,2024-10-31,C89738,Brian Matthews,P2332,Pigeon Gas Stove,Home,Kitchen,Pigeon,37697,3,5,107436,12896,Rajasthan,Jaipur,44445,COD,Cancelled
10024,2025-03-29,C12863,Alan Nelson,P3530,Levi's Jeans,Fashion,Clothing,Levi's,34618,1,20,27694,7296,Gujarat,Ahmedabad,92950,COD,Delivered
10025,2024-11-27,C46491,Christopher Simmons,P9101,Samsung Galaxy A32,Electronics,Mobile Phones,Samsung,27966,3,10,75508,15983,Karnataka,Bengaluru,08652,Prepaid,Cancelled
10026,2024-11-04,C94429,Savannah Robinson,P5446,Allen Solly Shirt,Fashion,Clothing,Allen Solly,24368,1,15,20713,4504,Maharashtra,Mumbai,75718,Prepaid,Delivered
10027,2025-02-16,C53700,Kimberly Becker,P5743,Zara Dress,Fashion,Clothing,Zara,13282,2,20,21251,2277,Karnataka,Bengaluru,04000,Prepaid,Delivered
10028,2024-11-09,C57304,Lisa Johnston,P2161,Nike Sneakers,Fashion,Footwear,Nike,16059,2,5,30512,8749,Karnataka,Bengaluru,51777,Prepaid,Cancelled
10029,2024-11-02,C49671,William Johnson,P6630,Allen Solly Shirt,Fashion,Clothing,Allen Solly,55358,1,0,55358,11745,West Bengal,Kolkata,03336,COD,Shipped
10030,2024-11-22,C26295,Cathy Martinez,P7153,Bata Sandals,Fashion,Footwear,Bata,66239,2,0,132478,21247,Gujarat,Ahmedabad,28101,Prepaid,Delivered
10031,2025-03-06,C93739,Taylor Johnson,P9503,Samsung Galaxy A32,Electronics,Mobile Phones,Samsung,26957,3,5,76827,8622,Maharashtra,Mumbai,56287,Prepaid,Shipped
10032,2025-02-13,C47987,David Walker,P4144,Zara Dress,Fashion,Clothing,Zara,29475,2,0,58950,10238,Karnataka,Bengaluru,85294,Prepaid,Shipped
10033,2024-12-13,C56991,Christopher Gordon,P7520,iPhone 13,Electronics,Mobile Phones,Apple,4620,3,15,11781,2951,Delhi,New Delhi,05662,Prepaid,Shipped
10034,2025-02-08,C43617,William Gonzalez,P9952,Noise Smartwatch,Electronics,Wearables,Noise,29297,3,5,83496,10097,West Bengal,Kolkata,47497,COD,Shipped
10035,2025-04-09,C29835,Sara Sellers,P6283,boAt Smart Band,Electronics,Wearables,boAt,20451,3,15,52150,11873,West Bengal,Kolkata,22707,COD,Cancelled
10036,2025-02-28,C75331,Tracy Brown,P1581,Bata Sandals,Fashion,Footwear,Bata,29675,1,10,26708,6440,Gujarat,Ahmedabad,89132,COD,Shipped
10037,2024-11-15,C78826,Gloria King,P2386,Lenovo IdeaPad,Electronics,Laptops,Lenovo,21434,2,20,34294,5449,Gujarat,Ahmedabad,78723,COD,Delivered
10038,2025-04-12,C77702,Christopher Ruiz,P3632,Samsung Galaxy A32,Electronics,Mobile Phones,Samsung,18104,1,10,16294,1679,Rajasthan,Jaipur,54228,COD,Shipped
10039,2025-04-08,C29506,Katie Collins,P9486,Urban Ladder Chair,Home,Furniture,Urban Ladder,67191,2,20,107506,21553,Tamil Nadu,Chennai,47313,Prepaid,Cancelled
10040,2024-12-30,C88661,Danielle Castro,P4826,boAt Smart Band,Electronics,Wearables,boAt,28014,2,20,44822,12560,West Bengal,Kolkata,02131,COD,Shipped
10041,2025-01-12,C12684,Gabriella Williams,P5292,Milton Water Bottle,Home,Kitchen,Milton,24851,2,20,39762,8511,Karnataka,Bengaluru,37316,Prepaid,Shipped
10042,2024-11-11,C49689,Troy Bell,P1588,Allen Solly Shirt,Fashion,Clothing,Allen Solly,9160,1,5,8702,1286,Gujarat,Ahmedabad,38233,COD,Delivered
10043,2025-02-23,C73088,Travis Schultz,P8639,Nike Sneakers,Fashion,Footwear,Nike,11698,3,5,33339,8737,Karnataka,Bengaluru,81906,COD,Delivered
10044,2024-11-10,C60683,Jasmine Perry,P6306,Adidas Running Shoes,Fashion,Footwear,Adidas,62720,1,0,62720,6679,Tamil Nadu,Chennai,85806,Prepaid,Cancelled
10045,2024-10-31,C23800,Corey Cook,P6535,IKEA Table,Home,Furniture,IKEA,51254,2,0,102508,28318,Tamil Nadu,Chennai,31881,COD,Cancelled
10046,2024-11-28,C95258,Jamie Hutchinson,P4098,Mi Band 6,Electronics,Wearables,Mi,39847,1,15,33870,8802,Gujarat,Ahmedabad,74969,Prepaid,Cancelled
10047,2025-04-03,C15004,James Miles,P8965,Allen Solly Shirt,Fashion,Clothing,Allen Solly,25966,2,10,46739,12055,Maharashtra,Mumbai,55318,Prepaid,Delivered
10048,2025-03-14,C43473,Amber Griffin,P6002,Mi Band 6,Electronics,Wearables,Mi,29308,1,0,29308,7481,Gujarat,Ahmedabad,34478,COD,Cancelled
10049,2025-03-01,C24869,Joseph Freeman,P1503,Lenovo IdeaPad,Electronics,Laptops,Lenovo,56319,1,0,56319,10314,Maharashtra,Mumbai,74085,COD,Delivered
10050,2025-02-10,C68552,Stacey Simpson,P1481,Levi's Jeans,Fashion,Clothing,Levi's,66093,2,10,118967,13765,Maharashtra,Mumbai,41403,Prepaid,Shipped
10051,2025-03-27,C55278,Robert Golden,P4355,Adidas Running Shoes,Fashion,Footwear,Adidas,31211,2,0,62422,13690,Delhi,New Delhi,54913,Prepaid,Delivered
10052,2024-11-21,C96378,Tonya Irwin,P4063,Milton Water Bottle,Home,Kitchen,Milton,1941,2,10,3494,831,Tamil Nadu,Chennai,95600,Prepaid,Delivered
10053,2024-11-10,C69512,Mrs. Meghan Stewart,P5794,Dell Inspiron,Electronics,Laptops,Dell,34845,1,0,34845,10220,Karnataka,Bengaluru,28488,COD,Shipped
10054,2024-10-18,C48842,April Carson,P3051,IKEA Table,Home,Furniture,IKEA,11591,1,20,9273,2005,Delhi,New Delhi,69752,COD,Delivered
10055,2025-02-11,C39205,Bryan Banks,P1336,Adidas Running Shoes,Fashion,Footwear,Adidas,25109,2,10,45196,8314,Maharashtra,Mumbai,40139,Prepaid,Cancelled
10056,2024-12-09,C61616,Catherine Alvarez,P7917,Noise Smartwatch,Electronics,Wearables,Noise,18304,2,10,32947,6924,Gujarat,Ahmedabad,52496,Prepaid,Cancelled
10057,2025-02-14,C49063,Donald Chavez,P7694,IKEA Table,Home,Furniture,IKEA,33513,2,10,60323,13718,Tamil Nadu,Chennai,15676,Prepaid,Shipped
10058,2025-04-01,C11104,Matthew Roth,P5537,Allen Solly Shirt,Fashion,Clothing,Allen Solly,27737,2,10,49927,14502,Maharashtra,Mumbai,85034,Prepaid,Delivered
10059,2024-12-22,C24700,Christopher York,P8429,Milton Water Bottle,Home,Kitchen,Milton,59479,2,5,113010,28651,West Bengal,Kolkata,06045,Prepaid,Delivered
10060,2024-10-23,C54615,David Edwards,P8357,Pigeon Gas Stove,Home,Kitchen,Pigeon,61612,3,0,184836,36349,Delhi,New Delhi,48590,COD,Delivered
10061,2025-02-03,C91098,Amanda Curry,P8723,Adidas Running Shoes,Fashion,Footwear,Adidas,40132,1,10,36119,7550,Delhi,New Delhi,92425,COD,Cancelled
10062,2025-02-10,C22131,Michelle Orr,P5203,IKEA Table,Home,Furniture,IKEA,54124,2,0,108248,13441,Gujarat,Ahmedabad,84405,Prepaid,Delivered
10063,2025-01-08,C62222,Joshua Clark,P2396,Urban Ladder Chair,Home,Furniture,Urban Ladder,14373,3,10,38807,6627,Rajasthan,Jaipur,77456,Prepaid,Cancelled
10064,2024-12-11,C14646,Chris Cook,P7796,Dell Inspiron,Electronics,Laptops,Dell,45550,1,20,36440,9908,Rajasthan,Jaipur,48630,Prepaid,Delivered
10065,2025-03-04,C47970,Richard Johnson,P5564,Bata Sandals,Fashion,Footwear,Bata,69558,3,5,198240,40892,West Bengal,Kolkata,35840,COD,Cancelled
10066,2024-11-16,C48306,Kevin Ward,P8666,Zara Dress,Fashion,Clothing,Zara,19063,1,0,19063,4564,West Bengal,Kolkata,72391,COD,Cancelled
10067,2024-11-10,C28288,John Allen,P1986,Urban Ladder Chair,Home,Furniture,Urban Ladder,62953,3,15,160530,23052,West Bengal,Kolkata,06826,COD,Shipped
10068,2024-12-14,C68193,Joseph Jones,P1165,Bata Sandals,Fashion,Footwear,Bata,65949,1,20,52759,7552,Karnataka,Bengaluru,53345,COD,Shipped
10069,2025-03-27,C79052,Jason Garcia,P5792,Noise Smartwatch,Electronics,Wearables,Noise,52788,1,10,47509,5142,Tamil Nadu,Chennai,63569,Prepaid,Shipped
10070,2025-01-16,C39712,Robert Burnett,P6418,boAt Smart Band,Electronics,Wearables,boAt,26061,1,15,22152,4257,Karnataka,Bengaluru,16796,COD,Delivered
10071,2025-01-17,C65274,Jonathan Johnson,P8276,IKEA Table,Home,Furniture,IKEA,59627,3,5,169937,34809,Delhi,New Delhi,44420,Prepaid,Delivered
10072,2025-03-07,C55766,Brittney Jackson,P1815,Allen Solly Shirt,Fashion,Clothing,Allen Solly,52057,3,5,148362,38443,West Bengal,Kolkata,74489,Prepaid,Cancelled
10073,2024-12-27,C60901,Wendy Miller,P5874,iPhone 13,Electronics,Mobile Phones,Apple,12096,1,10,10886,1213,Gujarat,Ahmedabad,11598,Prepaid,Delivered
10074,2024-11-23,C90282,Amy Smith,P8448,Mi Band 6,Electronics,Wearables,Mi,38280,2,15,65076,12472,Gujarat,Ahmedabad,52118,COD,Cancelled
10075,2025-02-01,C74251,Joan Burns,P5748,Levi's Jeans,Fashion,Clothing,Levi's,45196,2,0,90392,9831,Delhi,New Delhi,77163,COD,Delivered
10076,2025-03-03,C95803,Jenny Richardson,P4159,Samsung Galaxy A32,Electronics,Mobile Phones,Samsung,57065,3,5,162635,47837,West Bengal,Kolkata,34699,Prepaid,Shipped
10077,2025-02-06,C54499,Jessica Howard,P9552,Milton Water Bottle,Home,Kitchen,Milton,12222,2,10,22000,4558,Karnataka,Bengaluru,08870,COD,Delivered
10078,2025-03-24,C15813,Michaela Leach,P5936,HP Pavilion,Electronics,Laptops,HP,28471,3,10,76872,10574,Delhi,New Delhi,59694,COD,Cancelled
10079,2025-03-11,C50924,Barbara Sanders,P8551,Urban Ladder Chair,Home,Furniture,Urban Ladder,64187,2,5,121955,13281,Tamil Nadu,Chennai,27663,Prepaid,Delivered
10080,2025-02-17,C74920,Travis Lewis,P2617,IKEA Table,Home,Furniture,IKEA,55017,2,15,93529,17585,Maharashtra,Mumbai,19683,Prepaid,Delivered
10081,2024-11-05,C30158,James Payne,P3955,Nike Sneakers,Fashion,Footwear,Nike,11111,2,20,17778,4462,Rajasthan,Jaipur,20336,COD,Delivered
10082,2024-11-05,C42732,Victoria Hernandez MD,P9864,Adidas Running Shoes,Fashion,Footwear,Adidas,37568,2,10,67622,20215,Maharashtra,Mumbai,89620,COD,Cancelled
10083,2025-01-06,C36369,Kathleen Stark,P1271,Urban Ladder Chair,Home,Furniture,Urban Ladder,68375,3,15,174356,36132,Karnataka,Bengaluru,42766,COD,Delivered
10084,2025-03-26,C25562,Mr. Michael Harris DDS,P9774,Prestige Cooker,Home,Kitchen,Prestige,55350,1,5,52582,8251,Gujarat,Ahmedabad,29176,Prepaid,Cancelled
10085,2024-10-17,C77539,Victor Nolan,P9956,Adidas Running Shoes,Fashion,Footwear,Adidas,51422,3,10,138839,17167,Gujarat,Ahmedabad,42683,COD,Delivered
10086,2024-10-22,C96587,Shelly Morrison,P8868,Bata Sandals,Fashion,Footwear,Bata,32475,1,20,25980,4196,Karnataka,Bengaluru,20935,Prepaid,Shipped
